,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths
268,,Bosnia and Herzegovina,43.9159,17.6791,1/23/20,0,0
269,,Brazil,-14.235,-51.9253,1/23/20,0,0
270,,Brunei,4.5353,114.7277,1/23/20,0,0
271,,Bulgaria,42.7339,25.4858,1/23/20,0,0
272,,Burkina Faso,12.2383,-1.5616,1/23/20,0,0
273,,Cabo Verde,16.5388,-23.0418,1/23/20,0,0
274,,Cambodia,11.55,104.9167,1/23/20,0,0
275,,Cameroon,3.8480000000000003,11.5021,1/23/20,0,0
276,Alberta,Canada,53.9333,-116.5765,1/23/20,0,0
277,British Columbia,Canada,49.2827,-123.1207,1/23/20,0,0
278,Grand Princess,Canada,37.6489,-122.6655,1/23/20,0,0
279,Manitoba,Canada,53.7609,-98.8139,1/23/20,0,0
280,New Brunswick,Canada,46.5653,-66.4619,1/23/20,0,0
281,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/23/20,0,0
282,Nova Scotia,Canada,44.681999999999995,-63.7443,1/23/20,0,0
283,Ontario,Canada,51.2538,-85.3232,1/23/20,0,0
284,Prince Edward Island,Canada,46.5107,-63.4168,1/23/20,0,0
285,Quebec,Canada,52.9399,-73.5491,1/23/20,0,0
286,Saskatchewan,Canada,52.9399,-106.4509,1/23/20,0,0
287,,Central African Republic,6.6111,20.9394,1/23/20,0,0
288,,Chad,15.4542,18.7322,1/23/20,0,0
289,,Chile,-35.6751,-71.543,1/23/20,0,0
290,Anhui,China,31.8257,117.2264,1/23/20,9,0
291,Beijing,China,40.1824,116.4142,1/23/20,22,0
292,Chongqing,China,30.0572,107.874,1/23/20,9,0
293,Fujian,China,26.0789,117.9874,1/23/20,5,0
294,Gansu,China,37.8099,101.0583,1/23/20,2,0
295,Guangdong,China,23.3417,113.4244,1/23/20,32,0
296,Guangxi,China,23.8298,108.7881,1/23/20,5,0
297,Guizhou,China,26.8154,106.8748,1/23/20,3,0
298,Hainan,China,19.1959,109.7453,1/23/20,5,0
299,Hebei,China,39.549,116.1306,1/23/20,1,1
300,Heilongjiang,China,47.861999999999995,127.7615,1/23/20,2,0
301,Henan,China,33.882,113.61399999999999,1/23/20,5,0
302,Hong Kong,China,22.3,114.2,1/23/20,2,0
303,Hubei,China,30.9756,112.2707,1/23/20,444,17
304,Hunan,China,27.6104,111.7088,1/23/20,9,0
305,Inner Mongolia,China,44.0935,113.9448,1/23/20,0,0
306,Jiangsu,China,32.9711,119.455,1/23/20,5,0
307,Jiangxi,China,27.614,115.7221,1/23/20,7,0
308,Jilin,China,43.6661,126.1923,1/23/20,1,0
309,Liaoning,China,41.2956,122.6085,1/23/20,3,0
310,Macau,China,22.1667,113.55,1/23/20,2,0
311,Ningxia,China,37.2692,106.1655,1/23/20,1,0
312,Qinghai,China,35.7452,95.9956,1/23/20,0,0
313,Shaanxi,China,35.1917,108.8701,1/23/20,3,0
314,Shandong,China,36.3427,118.1498,1/23/20,6,0
315,Shanghai,China,31.201999999999998,121.4491,1/23/20,16,0
316,Shanxi,China,37.5777,112.2922,1/23/20,1,0
317,Sichuan,China,30.6171,102.7103,1/23/20,8,0
318,Tianjin,China,39.3054,117.323,1/23/20,4,0
319,Tibet,China,31.6927,88.0924,1/23/20,0,0
320,Xinjiang,China,41.1129,85.2401,1/23/20,2,0
321,Yunnan,China,24.974,101.48700000000001,1/23/20,2,0
322,Zhejiang,China,29.1832,120.0934,1/23/20,27,0
323,,Colombia,4.5709,-74.2973,1/23/20,0,0
324,,Congo (Brazzaville),-4.0383,21.7587,1/23/20,0,0
325,,Congo (Kinshasa),-4.0383,21.7587,1/23/20,0,0
326,,Costa Rica,9.7489,-83.7534,1/23/20,0,0
327,,Cote d'Ivoire,7.54,-5.5471,1/23/20,0,0
328,,Croatia,45.1,15.2,1/23/20,0,0
329,,Diamond Princess,0.0,0.0,1/23/20,0,0
330,,Cuba,22.0,-80.0,1/23/20,0,0
331,,Cyprus,35.1264,33.4299,1/23/20,0,0
332,,Czechia,49.8175,15.472999999999999,1/23/20,0,0
333,Faroe Islands,Denmark,61.8926,-6.9118,1/23/20,0,0
334,Greenland,Denmark,71.7069,-42.6043,1/23/20,0,0
335,,Denmark,56.2639,9.5018,1/23/20,0,0
336,,Djibouti,11.8251,42.5903,1/23/20,0,0
337,,Dominican Republic,18.7357,-70.1627,1/23/20,0,0
338,,Ecuador,-1.8312,-78.1834,1/23/20,0,0
339,,Egypt,26.0,30.0,1/23/20,0,0
340,,El Salvador,13.7942,-88.8965,1/23/20,0,0
341,,Equatorial Guinea,1.5,10.0,1/23/20,0,0
342,,Eritrea,15.1794,39.7823,1/23/20,0,0
343,,Estonia,58.5953,25.0136,1/23/20,0,0
344,,Eswatini,-26.5225,31.4659,1/23/20,0,0
345,,Ethiopia,9.145,40.4897,1/23/20,0,0
346,,Fiji,-17.7134,178.065,1/23/20,0,0
347,,Finland,64.0,26.0,1/23/20,0,0
348,French Guiana,France,3.9339,-53.1258,1/23/20,0,0
349,French Polynesia,France,-17.6797,149.4068,1/23/20,0,0
350,Guadeloupe,France,16.25,-61.5833,1/23/20,0,0
351,Mayotte,France,-12.8275,45.1662,1/23/20,0,0
352,New Caledonia,France,-20.9043,165.618,1/23/20,0,0
353,Reunion,France,-21.1351,55.2471,1/23/20,0,0
354,Saint Barthelemy,France,17.9,-62.8333,1/23/20,0,0
355,St Martin,France,18.0708,-63.0501,1/23/20,0,0
356,Martinique,France,14.6415,-61.0242,1/23/20,0,0
357,,France,46.2276,2.2137,1/23/20,0,0
358,,Gabon,-0.8037,11.6094,1/23/20,0,0
359,,Gambia,13.4432,-15.3101,1/23/20,0,0
360,,Georgia,42.3154,43.3569,1/23/20,0,0
361,,Germany,51.0,9.0,1/23/20,0,0
362,,Ghana,7.9465,-1.0232,1/23/20,0,0
363,,Greece,39.0742,21.8243,1/23/20,0,0
364,,Guatemala,15.7835,-90.2308,1/23/20,0,0
365,,Guinea,9.9456,-9.6966,1/23/20,0,0
366,,Guyana,5.0,-58.75,1/23/20,0,0
367,,Haiti,18.9712,-72.2852,1/23/20,0,0
368,,Holy See,41.9029,12.4534,1/23/20,0,0
369,,Honduras,15.2,-86.2419,1/23/20,0,0
370,,Hungary,47.1625,19.5033,1/23/20,0,0
371,,Iceland,64.9631,-19.0208,1/23/20,0,0
372,,India,21.0,78.0,1/23/20,0,0
373,,Indonesia,-0.7893,113.9213,1/23/20,0,0
374,,Iran,32.0,53.0,1/23/20,0,0
375,,Iraq,33.0,44.0,1/23/20,0,0
376,,Ireland,53.1424,-7.6921,1/23/20,0,0
377,,Israel,31.0,35.0,1/23/20,0,0
378,,Italy,43.0,12.0,1/23/20,0,0
379,,Jamaica,18.1096,-77.2975,1/23/20,0,0
380,,Japan,36.0,138.0,1/23/20,2,0
381,,Jordan,31.24,36.51,1/23/20,0,0
382,,Kazakhstan,48.0196,66.9237,1/23/20,0,0
383,,Kenya,-0.0236,37.9062,1/23/20,0,0
384,,"Korea, South",36.0,128.0,1/23/20,1,0
385,,Kuwait,29.5,47.75,1/23/20,0,0
386,,Kyrgyzstan,41.2044,74.7661,1/23/20,0,0
387,,Latvia,56.8796,24.6032,1/23/20,0,0
388,,Lebanon,33.8547,35.8623,1/23/20,0,0
389,,Liberia,6.4281,-9.4295,1/23/20,0,0
390,,Liechtenstein,47.14,9.55,1/23/20,0,0
391,,Lithuania,55.1694,23.8813,1/23/20,0,0
392,,Luxembourg,49.8153,6.1296,1/23/20,0,0
393,,Madagascar,-18.7669,46.8691,1/23/20,0,0
394,,Malaysia,2.5,112.5,1/23/20,0,0
395,,Maldives,3.2028,73.2207,1/23/20,0,0
396,,Malta,35.9375,14.3754,1/23/20,0,0
397,,Mauritania,21.0079,10.9408,1/23/20,0,0
398,,Mauritius,-20.2,57.5,1/23/20,0,0
399,,Mexico,23.6345,-102.5528,1/23/20,0,0
400,,Moldova,47.4116,28.3699,1/23/20,0,0
401,,Monaco,43.7333,7.4167,1/23/20,0,0
402,,Mongolia,46.8625,103.8467,1/23/20,0,0
403,,Montenegro,42.5,19.3,1/23/20,0,0
404,,Morocco,31.7917,-7.0926,1/23/20,0,0
405,,Namibia,-22.9576,18.4904,1/23/20,0,0
406,,Nepal,28.1667,84.25,1/23/20,0,0
407,Aruba,Netherlands,12.5186,-70.0358,1/23/20,0,0
408,Curacao,Netherlands,12.1696,-68.99,1/23/20,0,0
409,Sint Maarten,Netherlands,18.0425,-63.0548,1/23/20,0,0
410,,Netherlands,52.1326,5.2913,1/23/20,0,0
411,,New Zealand,-40.9006,174.886,1/23/20,0,0
412,,Nicaragua,12.8654,-85.2072,1/23/20,0,0
413,,Niger,17.6078,8.0817,1/23/20,0,0
414,,Nigeria,9.082,8.6753,1/23/20,0,0
415,,North Macedonia,41.6086,21.7453,1/23/20,0,0
416,,Norway,60.472,8.4689,1/23/20,0,0
417,,Oman,21.0,57.0,1/23/20,0,0
418,,Pakistan,30.3753,69.3451,1/23/20,0,0
419,,Panama,8.538,-80.7821,1/23/20,0,0
420,,Papua New Guinea,-6.315,143.9555,1/23/20,0,0
421,,Paraguay,-23.4425,-58.4438,1/23/20,0,0
422,,Peru,-9.19,-75.0152,1/23/20,0,0
423,,Philippines,13.0,122.0,1/23/20,0,0
424,,Poland,51.9194,19.1451,1/23/20,0,0
425,,Portugal,39.3999,-8.2245,1/23/20,0,0
426,,Qatar,25.3548,51.1839,1/23/20,0,0
427,,Romania,45.9432,24.9668,1/23/20,0,0
428,,Russia,60.0,90.0,1/23/20,0,0
429,,Rwanda,-1.9403,29.8739,1/23/20,0,0
430,,Saint Lucia,13.9094,-60.9789,1/23/20,0,0
431,,Saint Vincent and the Grenadines,12.9843,-61.2872,1/23/20,0,0
432,,San Marino,43.9424,12.4578,1/23/20,0,0
433,,Saudi Arabia,24.0,45.0,1/23/20,0,0
434,,Senegal,14.4974,-14.4524,1/23/20,0,0
435,,Serbia,44.0165,21.0059,1/23/20,0,0
436,,Seychelles,-4.6796,55.492,1/23/20,0,0
437,,Singapore,1.2833,103.8333,1/23/20,1,0
438,,Slovakia,48.669,19.699,1/23/20,0,0
439,,Slovenia,46.1512,14.9955,1/23/20,0,0
440,,Somalia,5.1521,46.1996,1/23/20,0,0
441,,South Africa,-30.5595,22.9375,1/23/20,0,0
442,,Spain,40.0,-4.0,1/23/20,0,0
443,,Sri Lanka,7.0,81.0,1/23/20,0,0
444,,Sudan,12.8628,30.2176,1/23/20,0,0
445,,Suriname,3.9193,-56.0278,1/23/20,0,0
446,,Sweden,63.0,16.0,1/23/20,0,0
447,,Switzerland,46.8182,8.2275,1/23/20,0,0
448,,Taiwan*,23.7,121.0,1/23/20,1,0
449,,Tanzania,-6.369,34.8888,1/23/20,0,0
450,,Thailand,15.0,101.0,1/23/20,3,0
451,,Togo,8.6195,0.8248,1/23/20,0,0
452,,Trinidad and Tobago,10.6918,-61.2225,1/23/20,0,0
453,,Tunisia,34.0,9.0,1/23/20,0,0
454,,Turkey,38.9637,35.2433,1/23/20,0,0
455,,Uganda,1.0,32.0,1/23/20,0,0
456,,Ukraine,48.3794,31.1656,1/23/20,0,0
457,,United Arab Emirates,24.0,54.0,1/23/20,0,0
458,Bermuda,United Kingdom,32.3078,-64.7505,1/23/20,0,0
459,Cayman Islands,United Kingdom,19.3133,-81.2546,1/23/20,0,0
460,Channel Islands,United Kingdom,49.3723,-2.3644,1/23/20,0,0
461,Gibraltar,United Kingdom,36.1408,-5.3536,1/23/20,0,0
462,Isle of Man,United Kingdom,54.2361,-4.5481,1/23/20,0,0
463,Montserrat,United Kingdom,16.7425,-62.1874,1/23/20,0,0
464,,United Kingdom,55.3781,-3.4360000000000004,1/23/20,0,0
465,,Uruguay,-32.5228,-55.7658,1/23/20,0,0
466,,US,37.0902,-95.7129,1/23/20,1,0
